Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
'a.a.ro:n,/ˈa.rən/,Aarōn,Aaron,Aron,/'a.a.ro:n/
'ab.ba,/ˈab/,abbas,abba,abb,/'ab.bas/
a.be.ke.'da:.ri.,/ˈabʲ.ɣʲə.dʲərʲ/,abecedārium,abecedari,aipgitir,/a.be.ke.'da:.ri.um/
'a.bel,/ˈa.vʲe:l/,Abel,Abel,Abél,/'a.bel/
a.'bi.me.lek,/ˈa.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech,Abimelech,/a.'bi.me.lek/
'a:.bra.he:,/ˈa.vra.e/,Ābrahae,abrahae,Abrache,/'a:.bra.he:/
'a:.bra.ham,/ˈavra.aɱ/,Ābraham,abraham,Abraham,/'a:.bra.ham/
'a:.bram,/ˈa.vrəɱ/,Ābram,abram,Abram,/'a:.bram/
'ap.sa.lon,/ˈa.vʲə.sə.lən/,Absalon,Absalon,Abisolon,/'ap.sa.lon/
ab.sti.'nen.ti.,/ˈav.stə.nədʲ/,abstinentia,abstinenti,abstanait,/ab.sti.'nen.ti.a
a.'bis.s,/ˈa.vʲəʃ/,abyssus,abyss,aibis,/a.'bis.sus/
ok.'ka:.si.o:,/ˈa.kuʃ/,*accāsiō,accasio,accuis,/ok.'ka:.si.o:/
ak.'ken.t,/ˈa.kʲənd/,accentus,accent,aiccend,/ak.'ken.tus/
ak.ki.'den.t,/ˈa.kʲə.ðʲədʲ/,accidentia,accident,aiccidit,/ak.ki.'den.ti.a/
a.'ke:.t,/ˈa.kʲe:t/,acētum,acet,acét,/a.'ke:.tum/
a.'ki.to.fel,/a.xʲə.təfəl/,Achitophel,Achitophel,Achitofel,/a.'ki.to.fel/
a.kri.si.'o:.ne:,/ˈa.kʲrʲə.ʃən.de/,Acrisiōnē,Acrision,acrision\dae,/a.kri.si.'o:.ne:/
a:k.tu.'a:.l,/ˈax.ta:lʲ/,āctuālis,actual,achtáil,/a:k.tu.'a:.lis/
a.'ku:.t,/ˈa.gudʲ/,acūtus,acut,acuit,/a.'ku:.tus/
'a:.da:.m,/ˈa:.ðəɱ/,Ādām,adam,Ádam,/'a:.da:.m/
ad.'jek.t,/ˈa.ðʲiəxt/,adiectus,adiect,adiacht,/ad.'jek.tus/
a.'do:.r,/að.ˈo.ra/,adōrō,ador,ad·ora,/a.'do:.ro:/
a.'dul.ter,/ˈa.ðəl.trəs/,adulter,adulter,adaltr\as,/a.'dul.ter/
e:.'gip.t,/ˈe:.ɣʲəpt/,Aegyptus,aegypt,Éigept,/e:.'gip.tus/
e:.gip.'ti.a.k,/ˈe:.ɣʲəp.təx.ðe/,aegyptiacus,aegyptiac,éigept\ach\dae,/e:.gip.'ti.a.kus/
e:.mi.li.'a:.n,/ˈe.ɱʲəlʲe:nde/,aemiliānus,aemilian,emilén\dae,/e:.mi.li.'a:.nus/
aj.'ne:a,/ˈaj.nʲe.e.ðe,Aenēās,aenea,aenee\dae,/aj.'ne:.a:s/
aj.'ne:.a:s,/ˈaj.nʲe.as/,Aenēās,aeneas,Aeneas,/aj.'ne:.a:s/
'e:.o.l,/ˈewl.de/,Aeolus,Aeol,eol\dae,/'e:.o.lus/
'e:.o.le:n.s,/ˈew.lʲən.te/,aeolēnsis,aeolens,eolen\tae,/'e:.o.le:n.sis/
e:.kwi.'nok.t,/ˈe.gʲə.nəxt/',aequinoctium,aequinocti,ecenocht,/e:.kwi.'nok.ti.um/
'a:.e:r,/ˈa.er/',āēr,aer,aër,/'a:.e:r/
e:.ti.'o.pi.,/ˈe.θʲəbʲ/,Aethiopia,aethiopi,Ethioip,/e:.ti.'o.pi.a/
'a:.fri.k,/ˈa.frək.ðe/,āfricus,afric,afrac\dae,/'a:.fri.kus/
a.le.'san.der,/a.ləx.sən.dər/,Alexander,alexander,Alaxander,/a.lek.'san.der/
al.le.'lu:.ja,/ˈa.Lʲe/,allelūia,allelui,aille,/al.le.'lu:.ja/
al.'mo:.si.n,/ˈalɱ.sən/,*almōsina,almosin,almsan,/al.'mo:.si.na/
'al.p,/ˈal.pe/,Alpēs,alp,Alpae,/'al.pe:s/
'al.fa,/ˈal.fa/,alpha,alpha,alfa,/'al.fa/
al.'pi:.n,/ˈal.pən.de/,alpīnus,alpin,alpan\de,/al.'pi:.nus/
al.ˈta:.re,/ˈal.to:rʲ/,altāre,altare,altóir,/al.ˈta:.re/
'a:.me:n,/ˈa.ɱənʲ/,āmēn,amen,amein,/'a:.me:n/
ˈam.mon,/ˈa.mən/,Ammon,Ammon,Ammon,/ˈam.mon/
a.'na.go.ge:,/ˈa.nə.ɣə.ɣʲe:n/,anagogēn,anagogēn,anagogien,/a.'na.go.ge:/
a.na.'lo.gi.,/ˈa.nə.ləx/,analogia,analogi,analach,/a.na.'lo.gi.a/
a.ˈna.ni.a:,/ˈa.Ne/,Ananiās,Anania,Annae,/a.ˈna.ni.a:s/
'aŋ.ko.r,/ˈaŋ.kə.rʲe/,ancora,ancor,ancaire,/'aŋ.ko.ra/
'aŋ.ko.r,/ˈiŋ.gər/,ancora,ancor,ingor 1,/'aŋ.ko.ra/
an.'dre:a,/ˈanʲ.dʲrʲa/,Andrēās,andrea,Aindrea,/an.'dre:.a:s/
'aŋ.ge.l,/ˈaŋʲ.gʲəl/,angelus,angel,aingel,/'aŋ.ge.lus/
'a.ni.m,/ˈa.nʲəmʲ/,anima,anim,ainimm,/'a.ni.ma/
