'a.a.ro:n,/ˈa.rən/,Aarōn,Aron
'ab.ba,/ˈab/,abbas,abb
a.be.ke.'da:.ri.,/ˈabʲ.ɣʲə.dʲərʲ/,abecedārium,aipgitir
'a.bel,/ˈa.vʲe:l/,Abel,Abél
a.'bi.me.lek,/ˈa.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech
'a:.bra.he:,/ˈa.vra.e/,Ābrahae,Abrache
'a:.bra.ham,/ˈavra.aɱ/,Ābraham,Abraham
'a:.bram,/ˈa.vrəɱ/,Ābram,Abram
'ap.sa.lon,/ˈa.vʲə.sə.lən/,Absalon,Abisolon
ab.sti.'nen.ti.,/ˈav.stə.nədʲ/,abstinentia,abstanait
a.'bis.s,/ˈa.vʲəʃ/,abyssus,aibis
ok.'ka:.si.o:,/ˈa.kuʃ/,*accāsiō,accuis
ak.'ken.t,/ˈa.kʲənd/,accentus,aiccend
ak.ki.'den.ti.,/ˈa.kʲə.ðʲədʲ/,accidentia,aiccidit
a.'ke:.t,/ˈa.kʲe:t/,acētum,acét
a.'ki.to.fel,/a.xʲə.təfəl/,Achitophel,Achitofel
a.kri.si.'o:.ne:,/ˈa.kʲrʲə.ʃən.de/,Acrisiōnē,acrision\dae
a:k.tu.'a:.l,/ˈax.ta:lʲ/,āctuālis,achtáil
a.'ku:.t,/ˈa.gudʲ/,acūtus,acuit
'a:.da:.m,/ˈa:.ðəɱ/,Ādām,Ádam
ad.'jek.t,/ˈa.ðʲiəxt/,adiectus,adiacht
a.'do:.r,/að.ˈo.ra/,adōrō,ad·ora
a.'dul.ter,/ˈa.ðəl.trəs/,adulter,adaltr\as
e:.'gip.t,/ˈe:.ɣʲəpt/,Aegyptus,Éigept
e:.gip.'ti.a.k,/ˈe:.ɣʲəp.təx.ðe/,aegyptiacus,éigept\ach\dae
e:.mi.li.'a:.n,/ˈe.ɱʲəlʲe:nde/,aemiliānus,emilén\dae
aj.'ne:a,/ˈaj.nʲe.e.ðe,Aenēās,aenee\dae
aj.'ne:.a:s,/ˈaj.nʲe.as/,Aenēās,Aeneas
'e:.o.l,/ˈewl.de/,Aeolus,eol\dae
'e:.o.le:n.s,/ˈew.lʲən.te/,aeolēnsis,eolen\tae
e:.kwi.'nok.t,/ˈe.gʲə.nəxt/',aequinoctium,ecenocht
'a:.e:r,/ˈa.er/',āēr,aër
e:.ti.'o.bi.,/ˈe.θʲəbʲ/,Aethiobia,Ethioip
'a:.fri.k,/ˈa.frək.ðe/,āfricus,afrac\dae
a.lek.'san.der,/a.ləx.sən.dər/,Alexander,Alaxander
al.le.'lu:.ja,/ˈa.Lʲe/,allelūia,aille
al.'mo:.si.n,/ˈalɱ.sən/,*almōsina,almsan
'al.p,/ˈal.pe/,Alpēs,Alpae
'al.fa,/ˈal.fa/,alpha,alfa
al.'pi:.n,/ˈal.pən.de/,alpīnus,alpan\de
al.ˈta:.re,/ˈal.to:rʲ/,altāre,altóir
'a:.me:n,/ˈa.ɱənʲ/,āmēn,amein
ˈam.mon,/ˈa.mən/,Ammon,Ammon
a.'na.go.ge:,/ˈa.nə.ɣə.ɣʲe:n/,anagogēn,anagogien
a.na.'lo.gi.,/ˈa.nə.ləx/,analogia,analach
a.ˈna.ni.a:,/ˈa.Ne/,Ananiās,Annae
'aŋ.ko.r,/ˈaŋ.kə.rʲe/,ancora,ancaire
'aŋ.ko.r,/ˈiŋ.gər/,ancora,ingor 1
an.'dre:.a:,/ˈanʲ.dʲrʲa/,Andrēās,Aindrea
'aŋ.ge.l,/ˈaŋʲ.gʲəl/,angelus,aingel
'a.ni.m,/ˈa.nʲəmʲ/,anima,ainimm
ˈa.ni.o:,/ˈa.nʲi.en/,Aniō,Anien
an.te.ˈter.ti.,/ˈan.tʲərt/,ante tertiam,antert
an.te.be:.'nul.ti.m,/ˈan.tʲə.bʲə.nʲulʲtʲ/,antepaenultima,antepeneuilt
an.ti.'kris.t,/ˈant.xri:st/,Antichristus,Antchríst
an.'da:.t,/ˈan.do:dʲ/,*andātem,andóit
an.'to:.ni.,/ˈan.tə.na:n/,Antōnius,antonán
a.'bol.lo:,/ˈa.bəLʲ/',Apollō,Apoill
a.'bos.to.l,/ˈab.stəl/,apostolus,apstal
a.'pos.to.l,/ˈax.səl/,apostolus,axal
a.'bos.tro.f,/ˈa.bə.strəfʲ/,apostrophus,apostroiph
a.'bri:.l,/ˈa.bʲrʲe:lʲ/,Aprīlis,Apréil
'a.kwi.l,/ˈa.kəlʲ/,Aquila,Aquil
'a:.rab,/ˈa.rəv.ðe/,Ārabem,arab\dae
'a.ran,/ˈa.rən/,Aran,Aran
'ar.k,/ˈa:rk/,arca,árc
ar.'kaŋ.ge.l,/ˈar.xəŋʲ.gʲəl/,archangelus,archaingel
ar.gu:.'men.t,/ˈar.gu.ɱʲənʲtʲ/,argūmentum,argumeint
a.ris.'to.te.le:s,/ˈa.rʲə.stə.təlʲ/,Aristotelēs,Aristotil
'ar.m,/ˈarm/,arma,arm
ar.'ti.ku.l,/ˈarʲ.tʲə.gəl/,articulus,articol
'a.sap,/ˈa.səf/,Asaph,Asaph
as.'si.ri.,/ˈa.sər/,Assyria,Asar
