Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,Source
ha.'be:.n,/ˈa.vəN/,habēna,abann,McManus/Other
ab.ba,/ˈab/,abbas,abb,"Wb.,Blathmac"
ab.sti.'nen.ti.,/ˈav.stə.nədʲ/,abstinentia,abstanait,Wb.
ok.'ka:.si.o:,/ˈa.kuʃ/,*accāsiō,accuis,"Wb.,Ml.Sg.,MG"
a.'ke:.t,/ˈa.kʲe:t/,acētum,acét,Sg.
a:k.'ta:.l,/ˈax.ta:lʲ/,*āctālis,achtáil,Wb.
a.kri.si.'o:.ne:,/ˈa.kʲrʲə.ʃən.de/,Acrisiōnē,acrision\dae,Sg.
a.'ku:.t,/ˈa.gudʲ/,acūtus,acuit,Sg.
a.'do:.r,/að.ˈo.ra/,adōrō,ad·ora,"Wb.,Blathmac,Ml."
a.'dul.ter,/ˈa.ðəl.trəs/,adulter,adaltr\as,Wb.
ad.'jek.t,/ˈa.ðʲəxt/,adiectus,adiacht,"Ml.,Sg."
aj.'ne:.a:s,/ˈaj.nʲe:.a:s/,Aenēās,Aeneas,Sg.
'a:.e:r,/ˈa.er/',āēr,aër,"Wb.,Ml.,MG"
'a:.fri.k,/ˈa.frək.ðe/,Āfricus,afrac\dae,Sg.
a.'bis.s,/ˈa.vʲəʃ/,abyssus,aibis,Ml.
ak.'ken.t,/ˈa.kʲənd/,accentus,aiccend,Sg.
ak.ki.'den.ti.,/ˈa.kʲə.ðʲədʲ/,accidentia,aiccidit,Sg.
al.le.'lu:.j,/ˈalʲ.lʲe/,allelūia,aille,MG
an.'dre:.a:,/ˈanʲ.dʲrʲa/,Andrēās,Aindrea,Blathmac
ja:.'ju:.ni.,/ˈaj.nʲe/,iāiūnium,aíne,"Blathmac,Ml."
'aŋ.ge.l,/ˈaŋʲ.gʲəl/,angelus,aingel,"Wb.,Blathmac,Ml."
'a.ni.m,/ˈa.nʲəmʲ/,anima,ainimm,"Blathmac,Ml.,Sg.,MG"
a.be.ke.'da:.ri.,/ˈabʲ.ɣʲə.dʲərʲ/,abecedārium,aipgitir,"Wb.,Blathmac,Sg."
as.ti.'a:.ri.,/ˈa.ʃtʲə.rʲe/,*astiārius,aistire,McManus/Other
as.te.'ri:s.k,/ˈa.ʃtʲrʲəsk/,asterīscus,aistrisc,Ml.
at.tat,/ˈatʲ/,attat,aitt,MG
a.lek.'san.der,/a.lək.sən.dər/,Alexander,Alaxander,Wb.
al.ki.mus,/'al.kə.məs/,Alchimus,Alchimus,Ml.
'al.fa,/ˈal.fa/,alpha,alfa,Blathmac
al.'mo:.si.n,/ˈalɱ.sən/,*almōsina,almsan,"Wb.,Ml."
'al.p,/ˈal.pe/,Alpēs,Alpae,Sg.
al.'pi:.n,/ˈal.pən.de/,alpīnus,alpan\de,Sg.
al.ˈta:.re,/ˈal.to:rʲ/,altāre,altóir,"Wb.,Sg."
'a:.me:n,/ˈa.ɱənʲ/,āmēn,amein,"Blathmac,Ml.,Sg.,MG"
a.'na.go.ge:,/ˈa.nə.ɣə.ɣʲe:n/,anagogēn,anagogien,Wb.
a.na.'lo.gi.,/ˈa.nə.ləx/,analogia,analach,Sg.
ˈa.ni.e:.n,/ˈa.nʲi.e:n/,Aniēnem,Anien,Sg.
an.te.be:.'nul.ti.m,/an.tʲe.bʲe:.nʲulʲtʲ/,antepaenultima,antepeneuilt,Sg.
an.te.ˈter.ti.,/ˈan.tʲərt/,ante tertiam,antert,MG
an.'to:.ni.,/ˈan.to:.na:n/,Antōnius,Anton\án,Sg.
a.'bol.lo:,/ˈa.bəLʲ/',Apollō,Apoill,Sg.
a.'bos.tro.f,/ˈa.bə.strəfʲ/,apostrophus,apostroiph,Sg.
a.'bri:.l,/ˈa.bʲrʲe:lʲ/,Aprīlis,Apréil,"Blathmac,MG"
a.'bos.to.l,/ˈab.stəl/,apostolus,apstal,"Wb.,Blathmac,Ml."
'a.kwi.l,/ˈa.kəlʲ/,Aquila,Aquil,Ml.
'a:.rab,/ˈa.rəv.ðe/,Ārabem,arab\dae,"Ml.,Sg."
o.'ra:.kl,/ˈa.rə.gəl/,*orāclum,aracol,McManus/Other
'ar.k,/ˈa:rk/,arca,árc,Ml.
ar.gu:.'men.t,/ˈar.gə.mʲənʲtʲ/,argūmentum,argumeint,"Blathmac,Ml.,MG"
a.ris.'to.te.le:s,/ˈa.rʲə.stə.təlʲ/,Aristotelēs,Aristotil,Sg.
'ar.m,/ˈarm/,arma,arm,"Wb.,Ml."
ar.'ti.ku.l,/ˈarʲ.tʲə.gəl/,articulus,articol,Sg.
'at.ti.k,/ˈa.tək/,Atticus,Atac,Sg.
'a.to.m,/ˈa.dəɱ/,atomus,atom,MG
'awk.tor,/ˈawx.tər/,auctor,auctor,"Wb.,Ml.,Sg."
a.'pos.to.l,/ˈax.səl/,apostolus,axal,McManus/Other
'ba.ku.l,/ˈba.xəL/,baculum,bachall,McManus/Other
ba.'si.li.k,/ˈba.ʃlək/,basilica,baislec,McManus/Other
ba.'tis.m,/ˈba.θʲəs/,*batisma,baithes,"Blathmac,MG"
'bal.b,/ˈbalb/,balbus,balb,Blathmac
'bap.tis.t,/ˈbap.təʃtʲ/,(Iōhannēs) Baptista,Baptaist,Blathmac
'bar.ba:.r,/ˈbar.ba:r/,barbarus,barbár,Wb.
'ba:r.k,/ˈba:rk/,bārca,bárc,Blathmac
'be:s.ti.,/ˈbʲe:ʃtʲ/,bēstia,béist,"Wb.,Blathmac,Ml.,MG"
ben.'dik.ti.o:,/ˈbʲen.dəxt/,*bendictiō,bendacht,"Wb.,Blathmac,Ml.,MG"
be.re:.'e:n.s,/ˈbʲe.rʲən.ste/,beroeēnsis,berens\dae,MG
bi.'na:.ri.,/ˈbʲi.na:rʲ/,*binārius,bináir,Sg.
bis.'sek.st,/ˈbʲi.ʃəxs/,bissextus,bissex,MG
bur.di.'ga.li.,/ˈbord.ɣəl/,Burdigalia,Bordgal,McManus/Other
'bur.g,/ˈborg/,burgus,borg,"Blathmac,Sg."
'bras.si.k,/ˈbra.ʃəx/,brassica,braisech,McManus/Other
brit.'to:.n,/ˈbʲrʲe.tənʲ/,brittōnēs,Bretain,McManus/Other
'broŋ.ki.,/ˈbroŋ.gə.ðʲe/,bronchia,brongai\de,MG
'kap.tor,/ˈkax.tər/,captor,cachtor,Blathmac
ka.'du:.k,/ˈkað.xəx/,cadūcus,cadch\ach,MG
'ka.li.k,/ˈka.lʲəx/,calicem,cailech,McManus/Other
ka.'li:.go:,/ˈka.lʲəx/,*calīgō,cailech 3,MG
'pal.li.,/ˈka.Lʲe/,pallium,caille,Wb.
ka.'mi.si.,/ˈkamʲ.ʃʲe/,camisia,caimmse,McManus/Other
kan.de.'la:.r,/ˈkanʲ.dʲlʲo:rʲ/,candelārius,caindl\eóir,Wb.
kan.'de:.l,/ˈkanʲ.dʲəl/,candēla,caindel,MG
kaŋ.'kel.l,/ˈkaŋʲ.gʲəl/,cancella,caingel,McManus/Other
ka.'bi.tu.l,/ˈkabʲ.dʲəl/,capitulum,caiptel,McManus/Other
'kwa:.re:,/ˈkarʲ/,quarē,cair,"Wb.,Blathmac,Ml.,MG"
'kar.t,/ˈkarʲtʲ/,charta,cairt,Ml.
'ka:.se.,/ˈka:.ʃe/,cāseus,cáise,Ml.
kas.'til.l,/ˈka.ʃəl/,*castillum,caisel,McManus/Other
ka.'len.d,/ˈka.lənd/,kalendae,caland,"Blathmac,MG"
ka.mel.l,/ˈka.ɱəL/,camellus,camall,MG
'kan.di.d,/ˈkan.də.ðəs/,candidus,candadas,MG
'pan.n,/ˈkaN/,panna,cann,McManus/Other
'ka.no:n,/ˈka.no:nʲ/,canōn,canóin,"Ml.,MG"
ka.bil.'la:.ti.o:,/ˈka.blədʲ/,capillātiō,caplait,McManus/Other
ka:.'rak.ter,/ˈka:.rəx.tər/,*chāracter,cárachtar,"Ml.,Sg."
'kar.ker,/ˈkar.kər/,carcer,carcar,"Wb.,Sg."
'ka.su.l,/ˈka.səl.de/,casula,casal\dae,Sg.
'pa:s.k,/ˈka:sk/,pāscha,cásc,"Blathmac,MG"
'ka.te.dr,/ˈka.θaʲrʲ/,cathedra,cathaír,McManus/Other
ka.te:.'ku:.me.n,/ˈkaθ.xəɱʲ.nʲəð/',catēchūmenus,cathchoimn\id,MG
ka.'to.li.k,/ˈka.θləx/,catholicus,cathlach,Wb.
'ka.tu.l,/ˈka.tu.la:n/,Catulus,Catulán,Sg.
'kaw.s,/ˈkaus/,causa,caus/coais,"Wb.,Ml.,Sg."
'ke.dr,/ˈkʲe.dərʲ/,cedrus,cedair,Ml.
'ke.le.br,/ˈkʲe.lʲə.vrəðʲ/,celebrō,ceilebr\aid,"Wb.,MG"
'ke:.r,/ˈkʲe:rʲ/,cēra,céir,"Wb.,Ml."
'kwe:s.ti.o:,/ˈkʲeʃtʲ/,quaestiō,ceist,"Ml.,MG"
'kiŋ.gl,/ˈkʲeŋ.gəl/,*cingla,cengal,McManus/Other
'kip.p,/ˈkʲep/,cippus,cepp,McManus/Other
ker.'wi:.kal,/ˈkʲer.xəLʲ/,cervīcal,cerchaill,McManus/Other
'ker.t,/ˈkert/,certus,cert,Sg.
'kis.t,/ˈkʲes/,cista,ces,MG
pi:.pi.'o:n,/ˈkʲi:.xə.nəx/,pīpiōnem,cíchan\ach,McManus/Other
'pik.t,/ˈkʲixt/,pictus,cicht,McManus/Other
ki.kla.si.a,/ˈkʲi.glə.ste/,Cyclasias,ciclas\tae,Sg.
'ki.kl,/ˈkʲi.kul/,cyclus,cicul,MG
'kwi:.n,/ˈkʲi:nʲ/,quīna,cín,MG
kwiŋ.kwa:.'ge:s.m,/ˈkʲeŋ.kʲə.ɣʲəs/,*quinquāgēsma,cingciges,"Blathmac,MG"
'ken.tr,/ˈkʲenʲ.tʲərʲ/,centrum,cinteir,"Ml.,Sg."
hi.e.'ro:.ni.m,/ˈkʲi.rʲə.nʲe/,Hierōnymus,Cir\ine,Ml.
'kir.ku.l,/ˈkʲir.kul/,circulus,circul,MG
kir.kum.'flek.s,/ˈkʲir.kunʲ.fʲlʲəxs/,circumflexus,circunflex,Sg.
'kwi.ri.k,/ˈkʲi.rʲək/,Quiricus,Ciric,Blathmac
'ke:.s,/ˈkʲi:s/,*cēsus,cís,MG
'plan.t,/ˈkland/,planta,cland,"Wb.,Blathmac,Ml.,MG"
'klas.s,/ˈklas/,classis,clas 2,"Blathmac,Ml.,MG"
'klaw.su.l,/ˈklaw.sul/,clausula,clausul,Ml.
'plek.t,/ˈkʲlʲext/,plecta,clecht,McManus/Other
'plu:.m,/ˈklu:ɱ/,plūma,clúm,McManus/Other
ko:n.'fes.si.o:,/ˈko.vəʃ/,cōnfessiō,cobais,"Ml.,MG"
ku.'kul.l,/ˈko.xəL/,cucullus,cochall,MG
'kul.ki.t,/ˈkol.kəðʲ/,culcita,colcaid,"Sg.,MG"
'kol.ki.d,/ˈkol.xə.ðʲe/,Colchidem,colche\de,Sg.
'pul.t,/ˈkolt/,pulta,colt,McManus/Other
'kul.tr,/ˈkol.tər/,cultrum,coltar,McManus/Other
ko.'lum.b,/ˈko.ləm/,columba,colum,Ml.
kom.'mu:.ni.o:,/ˈko.mən/,commūniō,comman,McManus/Other
kom.pa.ra:.'ti:.w,/ˈkom.pə.rədʲ/,comparātīuus,comparait,Sg.
'ku.me.r,/ˈko.ɱrər/,cumera,comrar,Blathmac
ko:n.se.kr,/kon.ˈʃe.kra/,cōnsecrō,con·secra,"Ml.,Sg.,MG"
'kan.nu.l,/ˈko.NəL/,cannula,connall,Sg.
'ko:n.so.n,/ˈkon.sən/,cōnsonus,consan,Sg.
ko:ns.tan.ti:.'no.bo.l,/ˈkon.stənʲ.tʲi:.nə.bəl/,Cōnstantīnopolis,Constantinopol,Sg.
kon.'trak.t,/ˈkon.trəxt/,contractus,contracht,MG
ko.'ro:.n,/ˈko.rəN/,corōna,corann,"Wb.,Blathmac,Ml.,MG"
'pur.pu.r,/ˈkor.kur/,purpura,corcur,"Sg.,MG"
kwa.ra:.'ge:s.m,/ˈkor.ɣas/,*quarāgēsma,corgus,McManus/Other
ko.'rin.t,/ˈko.rʲənt/,Corinthus,Corint,Wb.
kor.'ne:.li.,/ˈkor.nəlʲ/,Cornēlius,Cornil,"Blathmac,Sg."
'kor.pus,/ˈkorp/,corpus,corp,"Wb.,Blathmac,Ml.,MG"
ko:n.'sum.m,/ˈkos.ɱəðʲ/,cōnsummō,cosm\aid,McManus/Other
pa.'tri.ki.,/ˈko.θrə.ɣʲe/,Patricius,Cothrige,McManus/Other
kre.'bus.ku.l,/ˈkrab.skəlʲ/,crepusculum,crapscuil,McManus/Other
kris.ti.'a:.n,/ˈkʲrʲe:.ʃən/,christiānus,créisen,McManus/Other
