pellicia	cuilche
pi:pio-	ci:chanach
piper	scibar
pict-	cicht
presbyter	cruimther
purpureus	corcra
floccus	slo:ch
fenestra	senester
flecto	sle:chtaid
flagellum	sroigell
abba:tem	abbaith
dominicus	domnach
gradus	gra:d
creterra	creithir
ado:ra:re	adraid
baptisma	baithes
brittones	bretain
dicta:re	dechtaid
vesperti:na	espartan
vi:num	fi:n
castellum	caisel
christiAnus	cre:sen
crocus	cro:ch
februa:rius	febra
quadra:ge:sima	corgus
la:ikus	la:ech
librum	lebor
macula	machaill
monachus	manach
morta:litas	mortlaith
o:ra:tio:	ortha
axilla	oxal
paroecia	pairche
praedica:re	pridchid
proba:re	promad
pugilla:ria	po:lire
re:gula	ri:agol
ro:ma	rUam
saturni	satharn
sexta:rius	sesra
si:tula	si:thal
signum	se:n
synodus	senad
stra:tu:ra	srathar
tabella	ta:ball
tra:cta:re	tra:chtaid
tridua:na	tredan
va:gi:na	faigen
vi:cus	fi:ch
vitulus	fi:thal
i:talia	eta:il
philosophia	felsube
scri:pulus	screpul
cingula	cengal
coqui:na	cucann
tri:bula:tio:	treblait
occa:sio	accuis
o:ra:culum	aracol
episcopus	epscop
episcopus	eskop
graeca	gre:c
infernum	ifern
meretri:cem	meirtrech
nota:rius	notire
na:ta:licia	notlaic
patricius	pa:traic
rosa	ro:s
scriptu:ra	scriptuir
thesis	te:is
benedictio:	bendacht
mensu:ra	messar
historia	stoir
x	y
ante tertiam	anteirt
gallus	gall
confessio:	cobais
longa	long
de:na:rius	di:rna
virtus	fiurt
ungere	ongaid
barica	ba:rc
ie:iu:nium	ai:ne
elee:mosina	almsan
ostia:rius	aistire
ma:tuti:na	matan
martyrium	martrae
memoria	memmra
paradi:sus	pardus
antita:tem	ando:it
coro:na	corann
cortis	cuirt
maledictio:	maldacht
ho:ra	u:ar
prandium	proind
ima:go:	i:ma:ig
o:ra:tio:	oro:it
tri:nita:tem	trindo:it
candela:rius	caindleo:ir
consul	consal
tympanum	timpa:n
epistula	epistil
firma:mentum	firmimint
