Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
–colbae,/'kol.ve/,columna,column,/ko.'lum.na/,,,,,,,
*cuilenn,/'ku.lʲəN/,culīna,culin,/ku.'li:.na/,,,,,,,
abann,/'a.vəN/,habēna,haben,/ha.'be:.na/,,,,,,,
abb,/'ab/,abbās,abbas,/'ab.ba:s/,,,,,,,
Abél,/'a.vʲe:l/,Abel,Abel,/'a.bel/,,,,,,,
Abimelech,/'a.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech,/a.'bi.me.lek/,,,,,,,
Abisolon,/'a.vʲə.sə.lən/,Absalon,Absalon,/'ap.sa.lon/,,,,,,,
Abrache,/'a.vra.e/,Ābrahae,abrahae,/'a:.bra.haj/,,,,,,,
Abraham,/'avra.aɱ/,Ābraham,abraham,/'a:.bra.ham/,,,,,,,
Abram,/'a.vrəɱ/,Ābram,abr,/'a:.bram/,,,,,,,
abstanait,/'av.stə.nədʲ/,abstinentia,abstinenti,/ab.sti.'nen.ti.a,,,,,,,
accuis,/'a.kuʃ/,*accāsiō,accasio,/ok.'ka:.si.o:/,,,,,,,
acét,/'a.kʲe:t/,acētum,acet,/a.'ke:.tum/,,,,,,,
Achitofel,/a.xʲə.təfəl/,Achitophel,Achitophel,/a.'ki.to.fel/,,,,,,,
achtáil,/'ax.ta:lʲ/,āctuālis,actual,/a:k.tu.'a:.lis/,,,,,,,
acrision\dae,/'a.kʲrʲə.ʃən.de/,Acrisiōnē,Acrisione,/a.kri.si.'o:.ne:/,,,,,,,
acuit,/'a.gudʲ/,acūtus,acut,/a.'ku:.tus/,,,,,,,
ad·ora,/að.'o.ra/,adōrō,ador,/a.'do:.ro:/,,,,,,,
adaltras,/'a.ðəl.trəs/,adulter,adulter,/a.'dul.ter/,,,,,,,
Ádam,/'a:.ðəɱ/,Ādām,adam,/'a:.da:.m/,,,,,,,
adiacht,/'a.ðʲiəxt/,adiectus,adiect,/ad.'jek.tus/,,,,,,,
Aeneas,/'aj.nʲe.as/,Aenēās,aeneas,/aj.'ne:.a:s/,,,,,,,
aenee\dae,/'aj.nʲe.e.ðe,Aenēās,aene,/aj.'ne:.a:s/,,,,,,,
aër,/'a.er/',āēr,aer,/'a:.e:r/,,,,,,,
afrac\dae,/'a.frək.ðe/,āfricus,afric,/'a:.fri.kus/,,,,,,,
aibis,/'a.vʲəʃ/,abyssus,abiss,/a.'bis.sus/,,,,,,,
aiccend,/'a.kʲənd/,accentus,accent,/ak.'ken.tus/,,,,,,,
aiccidit,/'a.kʲə.ðʲədʲ/,accidentia,accident,/ak.ki.'den.ti.a/,,,,,,,
aille,/'a.Lʲe/,allelūia,alleluia,/al.le.'lu:.ja/,,,,,,,
Aindrea,/'anʲ.dʲrʲa/,Andrēā,andre,/an.'dre:.a:s/,,,,,,,
aíne,/'aj.nʲe/,iāiūnium,iaiunium,/ja:.'ju:.nium/,,,,,,,
aingel,/'aŋʲ.gʲəl/,angelus,angel,/'aŋ.ge.lus/,,,,,,,
ainimm,/'a.nʲəmʲ/,anima,anim,/'a.ni.ma/,,,,,,,
