Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
–colbae,/ˈkol.ve/,columna,column,/ko.ˈlum.na/
*cuilenn,/ˈku.lʲəN/,culīna,culin,/ku.ˈli:.na/
abann,/ˈa.vəN/,habēna,haben,/ha.ˈbe:.na/
abb,/ˈab/,abbās,abba,/ˈab.ba:s/
Abél,/ˈa.vʲe:l/,Abel,Abel,/ˈa.bel/
Abimelech,/ˈa.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech,/a.ˈbi.me.lek/
Abisolon,/ˈa.vʲə.sə.lən/,Absalon,Absalon,/ˈap.sa.lon/
Abrache,/ˈa.vra.e/,Ābrahae,abrahae,/ˈa:.bra.he:/
Abraham,/ˈavra.aɱ/,Ābraham,abraham,/ˈa:.bra.ham/
Abram,/ˈa.vrəɱ/,Ābram,abram,/ˈa:.bram/
abstanait,/ˈav.stə.nədʲ/,abstinentia,abstinenti,/ab.sti.ˈnen.ti.a
accuis,/ˈa.kuʃ/,*accāsiō,accasio,/ok.ˈka:.si.o:/
acét,/ˈa.kʲe:t/,acētum,acet,/a.ˈke:.tum/
Achitofel,/a.xʲə.təfəl/,Achitophel,Achitophel,/a.ˈki.to.fel/
achtáil,/ˈax.ta:lʲ/,āctuālis,actual,/a:k.tu.ˈa:.lis/
acrision\dae,/ˈa.kʲrʲə.ʃən.de/,Acrisiōnē,Acrision,/a.kri.si.ˈo:.ne:/
acuit,/ˈa.gudʲ/,acūtus,acut,/a.ˈku:.tus/
ad·ora,/að.ˈo.ra/,adōrō,ador,/a.ˈdo:.ro:/
adaltras,/ˈa.ðəl.trəs/,adulter,adulter,/a.ˈdul.ter/
Ádam,/ˈa:.ðəɱ/,Ādām,adam,/ˈa:.da:.m/
adiacht,/ˈa.ðʲiəxt/,adiectus,adiect,/ad.ˈjek.tus/
Aeneas,/ˈaj.nʲe.as/,Aenēās,aeneas,/aj.ˈne:.a:s/
aenee\dae,/ˈaj.nʲe.e.ðe,Aenēās,aenea,/aj.ˈne:.a:s/
aër,/ˈa.er/',āēr,aer,/ˈa:.e:r/
