Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,IrishS Standardized Lemma,ALT LEMMA,Root of Excluded Derivative,Source,Omission Reason
ko.'lum.n,/ˈkol.ve/,columna,–colbae,–colbae,,,Wb.,Unclear Etymology
ˈa.bel,/ˈa.vʲe:l/,Abel,Abél,Abél,,,"Wb.,Blathmac",Hebrew>Latin>Irish
a.'bi.me.lek,/ˈa.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech,Abimelech,,,Ml.,Hebrew>Latin>Irish
ap.sa.lon,/ˈa.vʲə.sə.lən/,Absalon,Abisolon,Abisolon,,,Ml.,Hebrew>Latin>Irish
a:.bra.he:,/ˈa.vra.e/,Ābrahae,Abrache,Abrache,,,Wb.,Hebrew>Latin>Irish
a:.bra.ham,/ˈavra.aɱ/,Ābraham,Abraham,Abraham,,,"Wb.,Blathmac,Ml.",Hebrew>Latin>Irish
a:.bram,/ˈa.vrəɱ/,Ābram,Abram,Abram,,,Ml.,Hebrew>Latin>Irish
a.'ki.to.fel,/a.xʲə.təfəl/,Achitophel,Achitofel,Achitofel,,,Ml.,Hebrew>Latin>Irish
,,,,acuit-ig-idir,,acuit,Sg.,Derivative
a:.da:.m,/ˈa:.ðəɱ/,Ādām,Ádam,Ádam,,,"Wb.,Blathmac,MG",Hebrew>Latin>Irish
,,,,adr-ad,,ad·ora,Wb.,Derivative
aj.'ne:,/ˈaj.nʲe:.ðe,Aenēās,aenee\dae,aenee-dae,,Aeneas,Sg.,Latin Derivative
,,,,aín-id,oín-aid,aíne [aín],Wb.,Derivative
,,,Alpión,Alpión,,,McManus/Other,Unclear Etymology
,,,,altóir-net,altór-nat,altóir,Sg.,Derivative
ˈim.pro.b,/ˈam.prəɱ/,improbus,amprom,am-prom,,prom-aid,Ml.,Derivative
,,,,am-prom-ae,,prom-aid,Sg.,Derivative
ˈha.ba.kuk,/ˈam.bə.kuk./,Habacuc,Ambaucuc,Ambaucuc,,,Wb.,Hebrew>Latin>Irish
ˈam.mon,/ˈa.mən/,Ammon,Ammon,Ammon,,,Ml.,Hebrew>Latin>Irish
,,,,ammon-dae,,Ammon,Ml.,Derivative
,,,,An-chríst,Ant-chríst,Críst,"Wb.,Blathmac",Derivative
,,,,anién-dae,,Anién [Anien],Sg.,Derivative
a.ˈna.ni.,/ˈan.ne/,Ananiās,Annae,Annae,,,Blathmac,Hebrew>Latin>Irish
,,,,apstal-acht,,apstal,"Wb.,Ml.",Derivative
ˈa.ran,/ˈa.rən/,Aran,Aran,Aran,,,Ml.,Hebrew>Latin>Irish
ar.'kaŋ.ge.l,/ˈar.xəŋʲ.gʲəl/,archangelus,archaingel,arch-aingel,arc-aingel,aingel,Blathmac,Derivative
,,,,arm-aid,,arm,Ml.,Derivative
,,,,arm-tha-tu,,arm,Sg.,Derivative
ˈa.a.ro:n,/ˈa.rən/,Aarōn,Aron,Aron,,,Ml.,Hebrew>Latin>Irish
,,,,articol-dae,,articol,Sg.,Derivative
ˈa.sap,/ˈa.səf/,Asaph,Asaph,Asaph,,,Ml.,Hebrew>Latin>Irish
as.'si.ri.,/ˈa.sər/,Assyria,Asar,Asar,,,Ml.,Hebrew>Latin>Irish
,,,,asar-dae,,Asar,Ml.,Derivative
,,,,at-trácht-ad,,trácht-aid,Sg.,Derivative
,,,,atac-dae,,Atac,Sg.,Derivative
,,,,augtor-tás,augtar-tás,"augtor [auctor,augtar]",Wb.,Derivative
ba.bi.lo:n,/ˈba.vʲə.lo:n/,Babylōn,Babilón,Babilón,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,babilón-dae,babilon-dae,Babilón,Ml.,Derivative
ˈba.al,/ˈba.al/,Baal,Bachal,Bachal,,,Wb.,Hebrew>Latin>Irish
,,,,baits-id,baiths-id,baithes,"Wb.,Blathmac,MG",Derivative
ˈba.la.am,/ˈba:.ləɱ/,Balaam,Bálam,Bálam,,,Blathmac,Hebrew>Latin>Irish
ba.ˈrab.ba:,/ˈba.rə.va:n/,Barabbās,Barab-án,Barab-án,,,Blathmac,Hebrew>Latin>Irish
ˈbar.na.ba:,/ˈbar.nəbʲ/,Barnabās,Barnaip,Barnaip,,,Wb.,Hebrew>Latin>Irish
,,,,Barnap-án,,Barnaip,Wb.,Derivative
be:t.le.'he:.m,/ˈbʲe.θʲlʲəɱ/,Bēthlehēmum,Beithlem,Beithlem,,,MG,Hebrew>Latin>Irish
ˈbel.ze.but,/ˈbʲel.sə.fuθ/,Belzebuth,Belzefuth,Belzefuth,,,Wb.,Hebrew>Latin>Irish
,,,,bendach-ad,,bendach-t,"Wb.,Ml.",Derivative
,,,,bendach-aid,,bendach-t,"Wb.,Blathmac,Ml.",Derivative
,,,,bendach-thae,,bendach-t,Wb.,Derivative
ˈben.ja.min,/ˈbʲe.nʲə.ɱʲi:n/,Beniamin,Beneamín,Beneamín,,,Ml.,Hebrew>Latin>Irish
,,,,beneamín-ech-dae,beniaminecdae,Beneamín,Ml.,Derivative
ˈbe.or,/ˈbʲe.or/,Beor,Beor,Beor,,,Blathmac,Hebrew>Latin>Irish
ber.ˈsa.be.e,/ˈbʲer.sə.ve/,Bērsabee,Bersabae,Bersabae,,,Ml.,Hebrew>Latin>Irish
,,,Bethel,Bethel,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,bethelem-dae,,,Ml.,Hebrew>Latin>Irish
,,,,bíast-aide,,béist/bíast,Ml.,Derivative
,,,,bisse,,bissex,MG,Derivative
,,,,borg-dae,,borg,Sg.,Derivative
kan.de.'la:.r,/ˈkanʲ.dʲlʲo:rʲ/,candelārius,caindleóir,caindl-eóir,,caindel,Wb.,Derivative
ka.'ja:.fa:s,/ˈka.i.fəs/,Caīphās,Caïphas,Caïphas,,,Blathmac,Hebrew>Latin>Irish
kal.'de:.,/ˈkald/,Chaldaeus,Cald,Cald,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,cald-[d]ae,,Cald,Ml.,Derivative
,,,,cald-aide,,Cald,Ml.,Derivative
,,Calebus,Caleb,Caleb,,,"Wb.,MG",Hebrew>Latin>Irish
kal.'de:.,/ˈkal.de.a/,Chaldaea,Caldea,Calldea,Caldea,,Ml.,Hebrew>Latin>Irish
ˈka.n,/ˈka.nə/,Cana,Cana,Cana,,,Blathmac,Hebrew>Latin>Irish
ˈka.na.a:n,/ˈka.Na:n/,Chanaān,Cannán,Cannán,,,"Blathmac,MG",Hebrew>Latin>Irish
,,,,cannán-dae,cannan-dae,Cannán,Ml.,Derivative
,,,,car-mocol,,mocol,Sg.,Derivative
ˈkat,/ˈkaθ/,Chath,Cath,Cath,,,Ml.,Hebrew>Latin>Irish
,,,,cedar-dae,,cedair,Ml.,Derivative
,,,,ceilebr-ad,,ceilebr-aid,Wb.,Derivative
ki:.r,/ˈkʲer/,Cȳrus,Cer,Cer,,,MG,Hebrew>Latin>Irish
ˈkam,/ˈkaɱ/,Cham,Cham,Cham,,,Ml.,Hebrew>Latin>Irish
ˈke.ru.bi:n,/ˈxʲe.ru.fʲi:n/,Cherubīn,Cherupín,Cherupín,,,Blathmac,Hebrew>Latin>Irish
